 
			  NEXSTAR ALIGNMENT STAR CHOICES
				by Jean C. Piquette
 
 MONTH:   2. DAY:   3.
 LOCAL TIME:  20.00 hours    .00 min.
 DAYLIGHT SAVING NOT IN EFFECT
 TIME ZONE NUMBER:   5.
 LATITUDE:  38.00 deg  51.00 min  58.00 sec.
 LONGITUDE:  77.00 deg   4.00 min.  48.00 sec.
 
 STAR 1		    STAR 2		   SEP.    ZEN. DIST.  MID. DIST.    HORIZ. PENALTY
Polaris             Navi                   28.61      42.09      44.72           .00
Polaris             Caph                   30.25      47.36      47.57           .00
Mirach              Navi                   25.18      41.43      41.59           .00
Procyon             Pollux                 22.83      33.19      42.78           .00
Mirach              Algenib                24.03      22.24      54.47           .66
Mirach              Caph                   25.53      43.97      44.75           .00
Alpheratz           Caph                   30.06      47.46      52.02           .00
Rigel               Betelgeuse             18.28      27.60      40.16           .00
Mirach              Scheat                 27.65      10.25      57.53         34.73
Regulus             Castor                 40.53       1.59      53.42         68.67
Caph                Scheat                 33.04      37.44      58.87         34.73
Dubhe               Polaris                28.71      50.44      52.74           .00
Sirius              Rigel                  23.43      40.96      52.87           .00
Hamal               Mirach                 17.40      37.94      40.59           .00
Alpheratz           Mirach                 14.47        .55      51.32           .00
Pollux              Regulus                37.04       5.97      55.28         68.67
Sirius              Procyon                24.52      47.89      54.36           .00
Sirius              Regulus                57.20      60.06      63.62         68.67
Pollux              Castor                  4.52      18.10      35.05           .00
Regulus             Dubhe                  50.78      57.13      63.06         68.67
Caph                Navi                    6.15       8.58      45.15           .00
Procyon             Regulus                37.43      42.19      60.91         68.67
Alpheratz           Scheat                 14.21      25.19      64.77         34.73
Alpheratz           Algenib                13.95      50.48      61.73           .66
Scheat              Algenib                20.61      62.60      67.82         34.74
